driver_id,name,vin
1,Bernardo Prosacco,WBWSS52P9NEYLVDE9
0,Emory Rosenbaum,1B9WEX2R92R12900E
3,Daryl Nitzsche,SAL6P2M2XNHC5Y656
,Jeromy O'Keefe DVM,L1CKRVH55W8S6S9T1
[5],Verla Marquardt,TAMLE35L3MAYRV1JD
6,Mr. Hyman Wolf,L1CXMYNZ3MMGTTYWU
7,,W09XNTZR9KTFK10WW
8,Shania Olson,KPH7TNNL14MDUFNF8
9,Simone Hackett,4RA34A5K3YPN8H5P4
10,       ,SXMMLZX8XGDN7L7TL
11,Billy Walsh,SARJG2FD3A7T21H18
12,Ms. Llewellyn Marquardt,TAMX2B609RPZY1XHT
13,Mr. Delbert Gleason,XF9
14,Antwan Prosacco,KPLUTG0L6NW1A0ZRF
15,Gayle Herzog,L1CDHZJ0567RJKCJ6
16,Shakira Stamm,SALUVSAL3WA67SBPZ
17,Federico Bins V,W092FDPH6FNNK102M
18,Ms. Kamille Wyman,SUA4ALKJ0YRFMASB2
19,Bill Denesik,L1C4AHZE55DGBKAK6
20,Abby Hettinger,1C9511EE4YR35640C
